Rank,Team Conference,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Luck,Luck_Rank,SOS_AdjEM,SOS_AdjEM_Rank,OppO,OppO_Rank,OppD,OppD_Rank,NCSOS_AdjEM,NCSOS_AdjEM_Rank,Year
112,George Washington,A10,21-12,+4.43,107.9,150,103.5,103,66.8,211,-.023,248,-2.21,201,104.6,277,106.8,150,-11.42,363
113,113,Syracuse,ACC,14-19,+4.43,110.4,105,105.9,153,68.2,123,+.026,111,+8.65,66,111.8,61,103.1,72,+2.54,102
114,South Alabama,SB,21-11,+4.43,107.5,155,103.1,99,63.1,353,-.042,288,-3.83,267,104.5,280,108.3,219,-2.84,256
115,115,DePaul,BE,14-19,+4.37,109.7,116,105.3,141,66.9,203,-.038,278,+8.42,67,110.7,75,102.3,58,-9.51,357
116,Florida Atlantic,Amer,18-16,+4.28,112.6,80,108.3,205,68.8,90,-.028,259,+2.79,103,108.3,105,105.6,116,+4.52,62
117,Kent St.,MAC,23-11,+4.23,105.9,198,101.7,82,66.3,229,+.027,110,-3.04,235,106.0,204,109.0,262,+2.11,112
118,118,CSUN,BW,22-11,+4.22,108.9,136,104.7,127,72.3,8,+.013,143,-2.08,197,105.4,236,107.5,178,-5.40,321
119,St. Bonaventure,A10,22-12,+4.18,105.3,209,101.1,73,64.6,318,+.047,73,+1.21,123,107.4,134,106.2,138,-4.26,300
120,Middle Tennessee,CUSA,22-12,+4.16,109.2,128,105.0,134,68.3,117,+.074,34,+2.85,102,107.5,125,104.6,98,+2.93,93
121,Saint Louis,A10,19-15,+4.15,109.3,127,105.1,137,67.6,160,-.001,180,+3.73,99,108.3,106,104.5,97,-0.29,185
122,Wofford,SC,19-15,+4.05,113.6,69,109.5,231,64.1,333,-.032,266,-0.81,163,106.7,162,107.6,180,+5.16,47
123,Northern Colorado,BSky,25-9,+3.93,112.0,88,108.1,203,68.8,94,+.042,78,-4.18,276,105.5,231,109.7,312,+2.11,110
124,Washington St.,WCC,19-14,+3.93,111.7,91,107.7,195,70.6,32,+.076,33,+4.21,96,109.4,87,105.2,107,+2.52,103
125,125,Samford,SC,22-11,+3.87,112.6,77,108.7,215,70.9,25,+.019,129,-2.06,195,105.9,210,107.9,199,-0.13,176
126,Louisiana Tech,CUSA,20-12,+3.87,109.0,135,105.1,136,64.5,324,+.031,97,+1.10,124,106.2,195,105.1,104,-2.32,243
127,N.C. State,ACC,12-19,+3.83,107.6,154,103.8,108,65.3,289,-.079,346,+7.03,73,111.1,70,104.1,87,-5.19,314
128,128,Belmont,MVC,22-11,+3.41,112.4,84,109.0,221,70.6,31,+.081,28,+0.06,149,107.0,153,106.9,155,-1.57,226
129,St. Thomas,Sum,24-10,+3.40,113.6,68,110.2,247,67.8,139,-.010,208,-3.53,259,106.8,158,110.4,343,-0.55,193
130,Kennesaw St.,CUSA,19-14,+3.37,107.2,168,103.8,111,70.3,43,+.035,88,+3.32,100,107.3,137,104.0,84,+3.19,89
131,131,Cornell,Ivy,18-11,+3.32,114.9,61,111.6,273,70.9,26,-.033,268,-2.60,221,105.6,226,108.2,217,-2.57,250
132,New Mexico,St.,CUSA,17-15,+3.12,104.4,218,101.3,75,64.8,308,-.037,275,+2.55,106,107.0,150,104.5,96,+1.76,122
133,North Dakota,St.,Sum,21-11,+2.75,115.4,55,112.6,297,64.9,303,-.006,193,-3.08,238,107.5,123,110.6,350,-0.21,183
134,South Dakota,St.,Sum,20-12,+2.61,109.7,115,107.1,182,69.0,81,-.018,231,-1.80,183,108.0,112,109.8,315,+4.13,67
135,Wichita St.,Amer,19-15,+2.58,107.0,172,104.5,123,68.7,95,+.034,89,+1.91,113,107.6,120,105.7,123,+1.06,137
136,136,Duquesne,A10,13-19,+2.53,106.0,196,103.5,104,65.2,290,-.127,361,+1.79,115,106.9,154,105.2,105,-1.94,230
137,137,Tulane,Amer,19-14,+2.21,108.8,137,106.6,171,66.7,214,-.033,271,-1.15,170,106.5,173,107.7,190,-6.54,337
138,Robert Morris,Horz,26-8,+2.16,107.0,171,104.9,131,67.8,140,+.088,23,-6.14,304,104.6,275,110.7,355,-8.54,352
139,139,Furman,SC,25-10,+2.10,110.1,108,108.0,202,65.9,258,+.112,13,-1.07,168,106.6,169,107.6,187,+0.47,153
140,Illinois St.,MVC,19-14,+2.01,112.0,89,110.0,241,65.7,269,-.015,219,+0.14,147,107.5,121,107.4,173,-1.51,222
141,Murray St.,MVC,16-17,+1.95,106.5,180,104.6,124,64.9,305,-.050,308,+1.51,117,107.6,119,106.1,133,+1.32,134
142,East Tennessee,St.,SC,19-13,+1.83,106.7,178,104.9,132,65.1,295,-.069,331,-3.40,249,105.9,206,109.3,286,-3.19,271
143,143,Milwaukee,Horz,21-11,+1.83,107.3,161,105.5,147,68.7,97,+.004,170,-3.07,237,106.1,196,109.2,272,+2.49,104
144,UNC Greensboro,SC,20-12,+1.70,107.1,170,105.4,144,63.8,340,-.016,223,-2.37,206,106.6,167,109.0,257,+1.48,130
145,145,Seattle,WAC,14-18,+1.57,104.0,221,102.4,93,65.9,253,-.138,364,-0.05,152,105.0,260,105.0,103,+4.94,54
146,146,Davidson,A10,17-16,+1.33,109.6,117,108.3,207,65.9,257,-.020,236,+0.26,142,106.4,183,106.1,135,-4.77,307
147,UC Santa,Barbara,BW,21-13,+1.20,108.6,141,107.4,190,65.5,279,-.001,181,-2.70,226,104.8,265,107.5,179,-8.73,353
148,Bryant,AE,23-11,+1.17,106.8,177,105.6,149,72.5,7,-.004,190,-7.04,318,103.0,314,110.0,326,+0.40,156
149,Miami OH,MAC,25-9,+1.11,108.0,149,106.9,178,69.0,83,+.086,25,-5.35,294,103.9,293,109.2,276,-3.24,273
150,150,Radford,BSth,20-13,+0.71,110.4,104,109.7,237,62.8,356,+.059,54,-2.04,191,106.8,155,108.9,247,+1.48,129
151,151,Towson,CAA,22-11,+0.69,106.9,175,106.2,159,63.6,347,+.094,19,-2.05,193,105.9,208,108.0,201,+3.54,82
152,Rhode Island,A10,18-13,+0.68,108.0,148,107.4,187,70.4,37,+.016,136,-0.84,164,105.7,217,106.6,146,-6.61,341
153,153,Charleston,CAA,24-9,+0.62,106.1,192,105.5,145,70.1,50,+.141,3,-2.68,225,105.9,211,108.5,232,+0.10,167
154,154,UTEP,CUSA,18-15,+0.54,105.4,207,104.8,130,68.8,93,+.028,105,+2.64,104,107.1,147,104.4,95,+0.70,147
155,Western Kentucky,CUSA,17-15,+0.51,103.5,233,103.0,98,71.7,12,+.034,90,+2.43,108,106.7,163,104.3,93,+2.11,111
156,Loyola Marymount,WCC,17-15,+0.49,104.2,220,103.7,106,67.2,187,+.062,48,+2.59,105,108.7,95,106.1,132,-0.38,188
157,Nebraska Omaha,Sum,22-12,+0.46,111.1,97,110.6,254,67.8,145,+.071,37,-2.53,214,106.8,161,109.3,278,+0.39,158
158,UC Riverside,BW,21-13,+0.40,109.8,112,109.4,229,67.1,191,+.138,4,+2.09,111,107.8,115,105.7,122,+8.64,27
159,James Madison,SB,20-12,+0.35,110.6,100,110.2,248,64.9,304,+.069,42,-1.12,169,105.7,220,106.8,153,+3.90,70
